Category, Title, Price, Price Per Unit, Packsize, Image Link
laundry-household household,Power Force Pro Disinfectant Wipes 120pk ,$2.99,$2.50 per 100 wipes,120pk,https://www.aldi.com.au/fileadmin/_processed_/6/7/csm_ALN2853_AWARDS_HOUSEHOLD_1x1_228x128_3_cd147d9a8f.jpg
laundry-household household,Confidence Samson Paper Towel 3ply 3pk ,$2.99,$1.66 per 100 sheets ($1.00 per roll),3pk,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN2364_HOUSEHOLD_1x1_228x128_7_3124977ae3.jpg
laundry-household household,Confidence Toilet Tissue Hypoallgerenic 4ply 8pk   ,$3.99,36c per 100 sheets (50c per roll),8pk,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN2364_HOUSEHOLD_1x1_228x128_8_5bc08f7f42.jpg
laundry-household laundry,Trimat Advanced Laundry Liquid 2L – Regular ,$7.99,$4 per litre,2L,https://www.aldi.com.au/fileadmin/_processed_/2/3/csm_ALN3248_Q1_WEB-AUDIT__LAUNDRY__1x1_228x128_2_9f0c8f4f4d.jpg
laundry-household laundry,Trimat Advanced Laundry Liquid 2L – Sensitive ,$7.99,$4 per litre,2L,https://www.aldi.com.au/fileadmin/_processed_/5/8/csm_ALN3248_Q1_WEB-AUDIT__LAUNDRY__1x1_228x128_3_4095ed6e26.jpg
laundry-household laundry,Almat Laundry Powder Concentrate 2kg ,$4.99,$2.50 per kg,2kg,https://www.aldi.com.au/fileadmin/_processed_/8/6/csm_ALN2364_AWARDS_HOME_CLEANING_1x1_228x128_9_e4de55715b.jpg
laundry-household laundry,Almat Laundry Liquid Concentrate 2L ,$4.99,$2.50 per litre,2L,https://www.aldi.com.au/fileadmin/_processed_/a/8/csm_ALN3077_LAUNDRY_1x1_228x128_3_b60ed568a8.jpg
laundry-household laundry,Di San Pre Wash Stain Remover 500ml – Degreaser ,$1.29,not available,500ml,https://www.aldi.com.au/fileadmin/_processed_/e/f/csm_ALN2364_AWARDS_HOME_CLEANING_1x1_228x128_3_ff4a4ad151.jpg
laundry-household laundry,Di-San Pre Wash Stain Remover 500ml ,$3.69,$2.58 per litre,500ml,https://www.aldi.com.au/fileadmin/_processed_/c/9/csm_ALN3248_Q1_WEB-AUDIT__LAUNDRY__1x1_228x128_1_84870866e9.jpg
laundry-household laundry,Di San Laundry Sanitiser 1L          ,$3.59,$3.69 per Litre,1L,https://www.aldi.com.au/fileadmin/_processed_/2/f/csm_ALN2362_Di_San_Laundry_Sanitiser_1L_1x1_228x128_0f2461ae49.jpg
laundry-household laundry,Anco Soft Fabric Softener 4x Concentrate 1L ,$0.99,$3.59 per litre,1L,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN3077_LAUNDRY_1x1_228x128_2_fb4e788e95.jpg
laundry-household laundry,Anco Soft Fabric Softener Concentrate 250ml ,$2.79,$3.96 per Litre,250ml,https://www.aldi.com.au/fileadmin/_processed_/d/4/csm_ALN3248_Q1_WEB-AUDIT__LAUNDRY__1x1_228x128_5_69fbf659d8.jpg
laundry-household laundry,Anco Soft Fabric Softener 2L ,$1.99,$1.40 per Litre,2L,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_ALN3248_Q1_WEB-AUDIT__LAUNDRY__1x1_228x128_4_90eba228a7.jpg
laundry-household laundry,Green Action Laundry Liquid 1L ,$1.99,$1.99 per litre,1L,https://www.aldi.com.au/fileadmin/_processed_/f/8/csm_ALN2230_Q1_LAUNDRY_1x1_228x128_7_2a94549594.jpg
laundry-household laundry,Green Action Wool Wash 1L ,$1.49,$1.99 per litre,1L,https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_ALN2230_Q1_LAUNDRY_1x1_228x128_6_c3c49badde.jpg
laundry-household laundry,Laundrite Laundry Liquid 2L ,$3.69,0.75c per Litre,2L,https://www.aldi.com.au/fileadmin/_processed_/9/a/csm_ALN2619_Q4_WEB_AUDIT_LAUNDRY_1x1_228x128__650d15b9ec.jpg
laundry-household laundry,Laundrite Laundry Powder 4kg ,see price in store*,0.92c per kg,4kg,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_ALN2619_Q4_WEB_AUDIT_LAUNDRY_1x1_228x128_2_b0a7d7c968.jpg
baby nappies-and-wipes,MAMIA® Unisex Newborn Nappies  ,$3.99,14c per nappy, ,https://www.aldi.com.au/fileadmin/_processed_/2/7/csm_ALN3077_AWARD_NAPPIES_1x1_228x128__f9bd3e8363.jpg
baby nappies-and-wipes,MAMIA® Unisex Crawler Nappies 6kg-11kg 56pk ,$9.99,18c per nappy,56pk,https://www.aldi.com.au/fileadmin/_processed_/4/e/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_2_9895863bf6.jpg
baby nappies-and-wipes,MAMIA® Unisex Toddler Nappies 10kg-15kg 50pk ,$9.99,18c per nappy,50pk,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_3_3e8bd649f8.jpg
baby nappies-and-wipes,MAMIA® Unisex Walker Nappies 13kg-18kg 44pk ,$9.99,20c per nappy,44pk,https://www.aldi.com.au/fileadmin/_processed_/7/5/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_4_4488933568.jpg
baby nappies-and-wipes,MAMIA® Unisex Junior Nappies 16kg-25kg 40pk ,$9.99,23c per nappy,40pk,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_5_24d1115ec7.jpg
baby nappies-and-wipes,Mamia Baby Wipes 80pk Scented ,$9.99,25c per nappy,80pk,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_6_26cfa6aa0e.jpg
baby nappies-and-wipes,Mamia Baby Wipes 80pk Fragrance Free ,$1.89,not available,80pk,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN3248_Q1_WEB-AUDIT__BABY__1x1_228x128_1_d23450f8af.jpg
